dataset,subgroup_kind,subgroup_value,group_id,panel_label,summary_view,curve_role,time_year,estimate,conf_low,conf_high,std_error,n_risk,n_event,n_censor,n_total,interpretation_tier,support_tier_standard,support_display_group,support_display_label,n_risk_fraction,state,state_n,state_prop
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,6.75,0.24074074074074073,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,6.75,0.5370370370370371,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,6.75,0,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7,0.24074074074074073,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7,0.5370370370370371,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7,0,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.25,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.25,0.24074074074074073,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.25,0.5370370370370371,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.25,0,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.5,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.5,0.24074074074074073,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.5,0.5370370370370371,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.5,0,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.75,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.75,0.24074074074074073,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.75,0.5370370370370371,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,7.75,0,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,8,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,12,0.2222222222222222
