flag_domain,flag_severity,flag_code,dataset,subgroup_kind,subgroup_value,group_id,panel_label,analysis_structure,summary_view,horizon_year,flag_text_value,flag_numeric_value,flag_message
merged_site_contribution,caution,site_dominance_single_site_dominant,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,NA,3,SNU,0.9555555555555556,"Merged site-dominance warning retained because one site dominates the eligible set at a late, non-primary-supported horizon."
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,NA,4,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,NA,5,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,NA,6,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,NA,7,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,NA,8,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,NA,9,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,NA,10,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,caution,site_dominance_single_site_dominant,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_free,NA,3,SNU,0.9629629629629629,"Merged site-dominance warning retained because one site dominates the eligible set at a late, non-primary-supported horizon."
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_free,NA,4,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_free,NA,5,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_free,NA,6,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_free,NA,7,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_free,NA,8,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_free,NA,9,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,overall,Overall,merged__overall__Overall,merged | Overall,site_free,NA,10,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,caution,site_dominance_single_site_dominant,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_adjusted,NA,3,SNU,0.9298245614035088,"Merged site-dominance warning retained because one site dominates the eligible set at a late, non-primary-supported horizon."
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_adjusted,NA,4,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_adjusted,NA,5,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_adjusted,NA,6,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_adjusted,NA,7,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_adjusted,NA,8,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_adjusted,NA,9,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_adjusted,NA,10,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,caution,site_dominance_single_site_dominant,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_free,NA,3,SNU,0.9428571428571428,"Merged site-dominance warning retained because one site dominates the eligible set at a late, non-primary-supported horizon."
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_free,NA,4,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_free,NA,5,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_free,NA,6,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_free,NA,7,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_free,NA,8,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
merged_site_contribution,warning,site_dominance_single_site_only,merged,sex,Female,merged__sex__Female,merged | Sex = Female,site_free,NA,9,SNU,1,Merged site-dominance warning retained because only one site contributes eligible subjects at this horizon.
