dataset,formula_variant,site_branch,interaction_branch,model_id,model_class,model_block,model_family,latency_type,matched_nocure_model_id,expected_reps,n_rep_observed,n_rep_fit_success,n_rep_prediction_success,n_rep_overall_success,n_rep_fit_failed,n_rep_prediction_failed,n_rep_warning,n_rep_nonzero_convergence,fit_success_rate,prediction_success_rate,overall_success_rate,ci_min_success_required,ci_eligible,qc_flag,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,1000,1000,990,990,990,10,0,0,0,0.99,0.99,0.99,800,TRUE,usable_for_ci,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,nocure_coxph,1000,1000,1000,1000,1000,0,0,2,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,nocure_exp,1000,1000,1000,1000,1000,0,0,3,3,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,nocure_llogis,1000,1000,1000,1000,1000,0,0,25,25,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,nocure_lnorm,1000,1000,1000,1000,1000,0,0,49,49,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,nocure_weibull,1000,1000,1000,1000,1000,0,0,9,9,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,nocure_coxph,no_cure,no_cure_anchor,coxph,cox_ph,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,nocure_llogis,no_cure,no_cure_anchor,llogis,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_sitefree,site_free,age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,1000,1000,990,990,990,10,0,0,0,0.99,0.99,0.99,800,TRUE,usable_for_ci,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_sitefree,site_free,age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,nocure_coxph,1000,1000,1000,1000,1000,0,0,5,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_sitefree,site_free,age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,nocure_exp,1000,1000,1000,1000,1000,0,0,3,3,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_sitefree,site_free,age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,nocure_llogis,1000,1000,1000,1000,1000,0,0,25,25,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_sitefree,site_free,age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,nocure_lnorm,1000,1000,1000,1000,1000,0,0,58,58,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_sitefree,site_free,age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,nocure_weibull,1000,1000,1000,1000,1000,0,0,7,7,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_sitefree,site_free,age_sex_interaction,nocure_coxph,no_cure,no_cure_anchor,coxph,cox_ph,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_sitefree,site_free,age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_sitefree,site_free,age_sex_interaction,nocure_llogis,no_cure,no_cure_anchor,llogis,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_sitefree,site_free,age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,interaction_sitefree,site_free,age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
